
time:2018-12-14 22:10:35, Preset positions:2, ID:1, temperature:21
time:2018-12-14 22:11:09, Preset positions:2, ID:1, temperature:21.2
time:2018-12-14 22:11:19, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 22:11:29, Preset positions:4, ID:1, temperature:16.2
time:2018-12-14 22:12:00, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 22:12:09, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 22:12:19, Preset positions:4, ID:1, temperature:16.1
time:2018-12-14 22:12:49, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 22:13:00, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 22:13:09, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 22:13:39, Preset positions:2, ID:1, temperature:21.1
time:2018-12-14 22:14:12, Preset positions:2, ID:1, temperature:21
time:2018-12-14 22:14:22, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 22:14:33, Preset positions:4, ID:1, temperature:16.2
time:2018-12-14 22:15:24, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 22:15:34, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 22:15:44, Preset positions:4, ID:1, temperature:16.2
time:2018-12-14 22:16:14, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 22:16:24, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 22:16:34, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 22:17:04, Preset positions:2, ID:1, temperature:21.2
time:2018-12-14 22:17:14, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 22:17:24, Preset positions:4, ID:1, temperature:16.4
time:2018-12-14 22:17:54, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 22:18:04, Preset positions:3, ID:1, temperature:17.5
time:2018-12-14 22:18:14, Preset positions:4, ID:1, temperature:16.1
time:2018-12-14 22:18:49, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 22:20:01, Preset positions:2, ID:1, temperature:21.2
time:2018-12-14 22:20:11, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 22:20:21, Preset positions:4, ID:1, temperature:16.3
time:2018-12-14 22:20:51, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 22:21:01, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 22:21:11, Preset positions:4, ID:1, temperature:16.5
time:2018-12-14 22:21:41, Preset positions:2, ID:1, temperature:20.8
time:2018-12-14 22:21:51, Preset positions:3, ID:1, temperature:17.5
time:2018-12-14 22:22:02, Preset positions:4, ID:1, temperature:16.6
time:2018-12-14 22:22:31, Preset positions:2, ID:1, temperature:21.2
